,price,address,house_type,bedroom
65,"£98,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.",Nationwide,Semi-Detached,×2
66,"£59,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Unit K The Galleries,
Washington Centre,
Washington,
NE38 7SD",End of Terrace,×2
67,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","10 Grange Road,
Jarrow,
NE32 3LD",Semi-Detached,×2
68,"£459,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St Benedicts Way,
Ryhope, Sunderland,
Tyne and Wear
SR2 0NY",Detached,×4
69,"£449,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St Benedicts Way,
Ryhope, Sunderland,
Tyne and Wear
SR2 0NY",Detached,×4
70,"£444,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St Benedicts Way,
Ryhope, Sunderland,
Tyne and Wear
SR2 0NY",Detached,×4
71,"£354,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St Benedicts Way,
Ryhope, Sunderland,
Tyne and Wear
SR2 0NY",Detached,×4
72,"£359,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
73,"£344,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
74,"£344,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
75,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","10 Grange Road,
Jarrow,
NE32 3LD",Semi-Detached,×2
76,"£379,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
77,"£339,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
78,"£371,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Lodgeside Meadow,
Sunderland,
SR3 2PN",Detached,×4
79,"£179,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Adair Way, 
Hebburn, 
Tyne & Wear, 
NE31 2HQ",End of Terrace,×2
80,"£179,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Adair Way, 
Hebburn, 
Tyne & Wear, 
NE31 2HQ",End of Terrace,×2
81,"£249,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Blackthorn Way, Houghton-le-Spring,
DH4 6JW",House,×4
82,"£189,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Campbell Park Road, Hebburn,
NE31 2SL",House,×3
83,"£189,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Campbell Park Road, Hebburn,
NE31 2SL",House,×3
84,"£189,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Campbell Park Road, Hebburn,
NE31 2SL",House,×3
85,"£189,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Campbell Park Road, Hebburn,
NE31 2SL",House,×3
86,"£675,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","3 Front Street,
Chester Le Street,
DH3 3BQ",Detached,×5
87,"£269,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","26-27 New Elvet,
Durham,
DH1 3AL",Detached,×4
88,"£389,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","18 St. Johns Precinct,
Hebburn,
NE31 1LQ",Detached,×5
89,"£60,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","51 Fawcett Street,
Sunderland,
SR1 1RS",Cottage,×2
90,"£90,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","  
 
2a Hawkeys Lane
North Shields
NE29 0JF 
 ",Terraced,×3
